DateKey,Date,Year,Month,Quarter,DayName
20240326,2024-03-26,2024,3,1,Tuesday
20240510,2024-05-10,2024,5,2,Friday
20240504,2024-05-04,2024,5,2,Saturday
20240517,2024-05-17,2024,5,2,Friday
20240203,2024-02-03,2024,2,1,Saturday
20240117,2024-01-17,2024,1,1,Wednesday
20240303,2024-03-03,2024,3,1,Sunday
20240801,2024-08-01,2024,8,3,Thursday
20240726,2024-07-26,2024,7,3,Friday
20240919,2024-09-19,2024,9,3,Thursday
20240328,2024-03-28,2024,3,1,Thursday
20240804,2024-08-04,2024,8,3,Sunday
20240831,2024-08-31,2024,8,3,Saturday
20240214,2024-02-14,2024,2,1,Wednesday
20240710,2024-07-10,2024,7,3,Wednesday
20240316,2024-03-16,2024,3,1,Saturday
20241005,2024-10-05,2024,10,4,Saturday
20240305,2024-03-05,2024,3,1,Tuesday
20240302,2024-03-02,2024,3,1,Saturday
20240210,2024-02-10,2024,2,1,Saturday
20240721,2024-07-21,2024,7,3,Sunday
20240208,2024-02-08,2024,2,1,Thursday
20240508,2024-05-08,2024,5,2,Wednesday
20240606,2024-06-06,2024,6,2,Thursday
20240318,2024-03-18,2024,3,1,Monday
20240803,2024-08-03,2024,8,3,Saturday
20240616,2024-06-16,2024,6,2,Sunday
20240118,2024-01-18,2024,1,1,Thursday
20240608,2024-06-08,2024,6,2,Saturday
20240121,2024-01-21,2024,1,1,Sunday
20240927,2024-09-27,2024,9,3,Friday
20240127,2024-01-27,2024,1,1,Saturday
20241018,2024-10-18,2024,10,4,Friday
20240627,2024-06-27,2024,6,2,Thursday
20241031,2024-10-31,2024,10,4,Thursday
20241021,2024-10-21,2024,10,4,Monday
20240426,2024-04-26,2024,4,2,Friday
20240525,2024-05-25,2024,5,2,Saturday
20240914,2024-09-14,2024,9,3,Saturday
20240625,2024-06-25,2024,6,2,Tuesday
20240103,2024-01-03,2024,1,1,Wednesday
20240617,2024-06-17,2024,6,2,Monday
20240402,2024-04-02,2024,4,2,Tuesday
20240916,2024-09-16,2024,9,3,Monday
20240304,2024-03-04,2024,3,1,Monday
20241017,2024-10-17,2024,10,4,Thursday
20240522,2024-05-22,2024,5,2,Wednesday
20240722,2024-07-22,2024,7,3,Monday
20240922,2024-09-22,2024,9,3,Sunday
20241003,2024-10-03,2024,10,4,Thursday
20240403,2024-04-03,2024,4,2,Wednesday
20240612,2024-06-12,2024,6,2,Wednesday
20240411,2024-04-11,2024,4,2,Thursday
20241106,2024-11-06,2024,11,4,Wednesday
20240201,2024-02-01,2024,2,1,Thursday
20240509,2024-05-09,2024,5,2,Thursday
20240407,2024-04-07,2024,4,2,Sunday
20240408,2024-04-08,2024,4,2,Monday
20240329,2024-03-29,2024,3,1,Friday
20241103,2024-11-03,2024,11,4,Sunday
20241014,2024-10-14,2024,10,4,Monday
20240511,2024-05-11,2024,5,2,Saturday
20240306,2024-03-06,2024,3,1,Wednesday
20241024,2024-10-24,2024,10,4,Thursday
20240207,2024-02-07,2024,2,1,Wednesday
20240323,2024-03-23,2024,3,1,Saturday
20240227,2024-02-27,2024,2,1,Tuesday
20240930,2024-09-30,2024,9,3,Monday
20240116,2024-01-16,2024,1,1,Tuesday
20240514,2024-05-14,2024,5,2,Tuesday
20240605,2024-06-05,2024,6,2,Wednesday
20240528,2024-05-28,2024,5,2,Tuesday
20241009,2024-10-09,2024,10,4,Wednesday
20240212,2024-02-12,2024,2,1,Monday
20240107,2024-01-07,2024,1,1,Sunday
20240815,2024-08-15,2024,8,3,Thursday
20240811,2024-08-11,2024,8,3,Sunday
20240903,2024-09-03,2024,9,3,Tuesday
20240724,2024-07-24,2024,7,3,Wednesday
20240526,2024-05-26,2024,5,2,Sunday
20240317,2024-03-17,2024,3,1,Sunday
20240104,2024-01-04,2024,1,1,Thursday
20240113,2024-01-13,2024,1,1,Saturday
20240818,2024-08-18,2024,8,3,Sunday
20240415,2024-04-15,2024,4,2,Monday
20240622,2024-06-22,2024,6,2,Saturday
20240430,2024-04-30,2024,4,2,Tuesday
20240920,2024-09-20,2024,9,3,Friday
20240429,2024-04-29,2024,4,2,Monday
20240827,2024-08-27,2024,8,3,Tuesday
20240923,2024-09-23,2024,9,3,Monday
20240308,2024-03-08,2024,3,1,Friday
